url,name,website,socials,email,address,contact,description,years_active,staff,awards
https://architectdirectory.co.uk/practice/3dr-architects,3Dr Architects,http://www.3drarchitects.co.uk/,[],jon.hughes@3drarchitects.co.uk,"15 Emmbrook Road, Wokingham, RG41 1HE",Jonathan Hughes,"3DR Architects Ltd was founded in 2010 by Jonathan Hughes, the Director and sole practitioner of the Company. Since the Company was started over 200 extensions and numerous individual houses have been completed, or are at varying stages of development. Jonathan Hughes is a fully qualified RIBA registered Architect with over 20 years post qualification experience. Address 15 Emmbrook Road, Wokingham, RG41 1HE Contact Jonathan Hughes",13,0 - 4,[]
https://architectdirectory.co.uk/practice/archadia-chartered-architects,Archadia Chartered Architects,https://wwa-studios.com/,"[""https://twitter.com/@ArchadiaArch"", ""https://instagram.com/wwa_studios""]",enquiries@wwa-studios.com,"Ashley House, 58-60 Ashley Road, Hampton, TW12 2HU",Mark Slater,"WWA is a leader in the built environment, an innovative multi-disciplinary Practice creating outstanding people-centric places that care for our heritage. We use our cross-sector expertise and wealth of experience in development to deliver consistently high-quality projects on time and on budget. Address Ashley House, 58-60 Ashley Road, Hampton, TW12 2HU Contact Mark Slater Twitter @ArchadiaArch Instagram wwa_studios",25,5 - 19,[]
https://architectdirectory.co.uk/practice/architectural-emporium,Architectural Emporium,https://www.architectural-emporium.co.uk/,[],mail@architectural-emporium.co.uk,"87 Kempston Street, Liverpool, L3 8HE",Toby Wallis,"Although AE’s interventions are unique and bespoke to each site and the client’s requirements, it is possible to detect some underlying themes common in the portfolio, such as: simple legible forms; context driven sensitive proposals; structures and components re-described and recycled; sustainable and efficient arrangements; thoughtful and inventive enveloping; innovative use of affordable materials; consideration of interiors and furniture as integral; careful and sophisticated detailing. Address 87 Kempston Street, Liverpool, L3 8HE Contact Toby Wallis",14,5 - 19,[]
https://architectdirectory.co.uk/practice/arkhi-architects,Arkhi Architects,http://www.arkhi.co.uk/,[],hi@arkhi.co.uk,"The Sorting House, 6 Mill Street, Congleton, CW12 4BA",Matthew Lewis,"Designing for a Better Life: Arkhi's Modern Architecture Vision. With a focus on custom and bespoke designs, we have been delivering exceptional new-build homes, barn conversions, and extension transformations to private clients for many years. Our goal is to enrich the way people interact with the spaces they spend the most time in, creating truly personalised living environments. At Arkhi, we believe in building wealth through property, one beautifully designed space at a time. Address The Sorting House, 6 Mill Street, Congleton, CW12 4BA Contact Matthew Lewis",13,0 - 4,[]
https://architectdirectory.co.uk/practice/atelier-architecture-and-design,Atelier Architecture And Design,http://www.atelier-architects.co.uk/,[],info@atelier-architects.co.uk,"6 Marsworth Wharf, Tring, HP23 4BW",Stephen Melvin,"At Atelier Architecture + Design, we believe in a delicate balance between human ingenuity and the natural world. For over 50 years, our journey has been one of discovery, learning from nature and translating its wisdom into our architectural designs. Our unique ‘Pioneer Nature Method’ is the cornerstone of this philosophy. This method is not just an approach; it’s a way of seeing the world. It involves reading and interpreting landscapes through purposeful and scientific research, listening to the whispers of natural processes, and enhancing them with our client’s visions. The result? We draw out the magic of the site with sensitive and exciting design, without compromising the natural environment. Address 6 Marsworth Wharf, Tring, HP23 4BW Contact Stephen Melvin",29,0 - 4,[]
https://architectdirectory.co.uk/practice/bbd-architects,Bbd Architects,http://www.bbd-architects.co.uk/,[],info@bbd-architects.co.uk,"Horsefair Arch, The Horsefair, Romsey, SO51 8EZ",Laurence Wright,"Verity and Laurence provide you with a completely personal and bespoke design service, and we will guide and support you through the different stages and statutory hoops you will need to navigate through your architectural journey. Whether you are building a new home, extending, or renovating, we design to fit your brief, budget and your lifestyle. We think that's important. The first step is simply to have a chat so we can get to know about you, your family, and what you want to achieve. So why not book today? Address Horsefair Arch, The Horsefair, Romsey, SO51 8EZ Contact Laurence Wright",17,5 - 19,[]
https://architectdirectory.co.uk/practice/beasley-dickson-architects,Beasley Dickson Architects,https://www.beasleydickson.com/,"[""https://instagram.com/beasleydicksonarchitects""]",info@beasleydickson.com,"12-20 Baron Street, N1 9LL",David Dickson,"Beasley Dickson Architects is a London based RIBA chartered practice established in 2014 by Melissa Beasley and David Dickson. The studio works on projects of all scales and sectors, specialising in housing for both private and commercial clients. The work is driven by a strong conviction in the critical design process, tailored to the needs of each client with a hands-on personal approach. We eschew a ‘style’ to create innovative and inspiring buildings specific to a project’s brief, context and budget. We have a passionate interest in the materials and crafts of construction, realised through rigorously detailed output, producing tactile and enduring architecture. We offer a full range of services, inclusive of urban design, product design and interior design. Address 12-20 Baron Street, N1 9LL Contact David Dickson Instagram beasleydicksonarchitects",6,0 - 4,[]
https://architectdirectory.co.uk/practice/bere-architects,Bere Architects,https://www.bere.co.uk/,"[""https://twitter.com/@berearchitects""]",info@bere.co.uk,"The Muse, 54a Newington Green, London, N16 9PX",Justin Bere,"Over 20 years of award-winning work, encompassing pioneering plus-energy buildings; Passivhaus Plus, Passivhaus and Enerphit new-build and deep-retrofit buildings, across both public and private sectors. Through our unique methodology, bringing together award-winning design; comprehensive and meticulous construction documentation and quality assurance; and rigorous building science and research; we not only deliver world-class buildings for our clients, but also help to set the benchmarks for sustainable performance across the industry. Address The Muse, 54a Newington Green, London, N16 9PX Contact Justin Bere Twitter @berearchitects",24,0 - 4,[]
https://architectdirectory.co.uk/practice/brock-carmichael-architects,Brock Carmichael Architects,http://www.brockcarmichael.co.uk/,[],office@brockcarmichael.co.uk,,Michael Cosser,"For almost 50 years Brock Carmichael has been delivering value and business success for clients, based on tried and tested architectural principles. We pride ourselves on our honest, transparent culture, one where everyone has a voice. We encourage collaboration and design innovation to develop the best possible solutions. Addresses 19 Old Hall Street, Liverpool, Merseyside, L3 9JQ 81 Curtain Road, London, EC2A 3AG Contact Michael Cosser",49,20 - 125,[]
https://architectdirectory.co.uk/practice/brp-architects,Brp Architects,http://www.brp-architects.com/,[],enquiries@brp-architects.com,"1 Millers Yard, Market Harborough, LE16 7PW",Alan Sankey,"We are an established medium set up, with capabilities to run multiple projects simultaneously and are well equipped to service medium to large sized projects. Address 1 Millers Yard, Market Harborough, LE16 7PW Contact Alan Sankey",44,5 - 19,[]
https://architectdirectory.co.uk/practice/chetwoods-london-ltd,Chetwoods London Ltd,https://www.chetwoods.com/,"[""https://twitter.com/@Chetwoods"", ""https://instagram.com/chetwoodsarchitects""]",contact@chetwoods.com,,Paul Hunter,"Our mission is to educate, inspire and guide our clients to make the choices that will benefit and enrich our lives, our places and our planet. We design with instinct, impact and intelligence to create architecture that is a synthesis of experiential, environmental & technological design. We use a mix of rigorous thinking and radical creativity to explore and push the boundaries of architecture. We don’t constrain ourselves to what’s gone before, but look for new, better and original ways to do things: in our ideas; in our processes; in the materials we use; in the levels of wellbeing we can achieve in the built environment and beyond. This uncompromising outlook means being brave, being bold, and being ready to question the status quo. We push and challenge our clients, the industry and technology, constantly striving to expand the possibilities of design for living and to bring more colour to the world we inhabit. Our architectural expertise and services cover a wide range of sectors all tied together by the desire and commitment to create exemplary buildings that have been designed with the user at the heart. Addresses 13-16 Britton Street, London, EC1M 5SX 32 Frederick Street, Birmingham, B1 3HH South Staffordshire Business Hub, Wolverhampton Road, Codstall, WV8 1PE Contact Paul Hunter Twitter @Chetwoods Instagram chetwoodsarchitects",,20 - 125,[]
https://architectdirectory.co.uk/practice/david-cook-architects,David Cook Architects,https://www.davidcookarchitects.com/,[],arch@dcarchitects.co.uk,"56 Clerkenwell Road, London, EC1M 5PX",David Cook,"David Cook Architects is a Clerkenwell based practice with a wide portfolio of projects ranging from high-end residential to education, commercial and institutional. Address 56 Clerkenwell Road, London, EC1M 5PX Contact David Cook",,0 - 4,[]
https://architectdirectory.co.uk/practice/david-kohn-architects,David Kohn Architects,https://davidkohn.co.uk/,"[""https://twitter.com/@officeDKA"", ""https://instagram.com/officedka""]",info@davidkohn.co.uk,"Bedford House, 125-133 Camden High Street, London, NW1 7JR",David Kohn,"David Kohn Architects is a London-based practice established in 2007, working internationally on arts, education and residential projects. We have a particular focus on collaborative design and regularly work with artists on projects. We are currently delivering major projects for New College Oxford, developer Lendlease and the Province of Limburg, Belgium. Recent projects include the Red House, House of the Year 2022 winner and the Cowshed, Manser Medal winner and Architects Journal House of the Year 2023. The practice also won an international competition to design a 75 unit apartment building in Berlin for leading developer Euroboden. Address Bedford House, 125-133 Camden High Street, London, NW1 7JR Contact David Kohn Twitter @officeDKA Instagram officedka",17,5 - 19,[]
https://architectdirectory.co.uk/practice/dmwr-architects,Dmwr Architects,https://www.dmwr.co.uk/,"[""https://twitter.com/@DMWRArchitects"", ""https://instagram.com/dmwr_architects""]",mail@dmwr-architects.co.uk,,Barry Harper-Smith,"Profile tbc Addresses 16-18 Hatton Gardens, London, EC1N 8AT The Maltings, 44 Whitehorse Street, Baldock, SG7 6QQ 41 Spring Gardens, Manchester, M2 2BG Contact Barry Harper-Smith Twitter @DMWRArchitects Instagram dmwr_architects",57,20 - 125,[]
https://architectdirectory.co.uk/practice/ellismiller,Ellismiller,http://www.ellis-miller.com/,[],cambridge@ellis-miller.com,"Prospect House, Padlock Road, West Wratting, Cambridge, CB21 5LS",Jonathan Ellis-Miller,"Our architecture seeks to promote health and happiness. Design should enhance peoples’ lives and we believe this is best achieved when the design process fully involves the clients and end users. Address Prospect House, Padlock Road, West Wratting, Cambridge, CB21 5LS Contact Jonathan Ellis-Miller",32,5 - 19,[]
