url,name,website,socials,email,address,contact,phone,country,description,years_active,staff,awards
https://architectureau.com/directory/studio-nine-architects/,Studio Nine Architects,https://studionine.net.au/,[],hello@studionine.net.au,,,,Australia,"Architecture and interior design studio based in Adelaide and Melbourne, delivering diverse projects across a range of sectors and scales throughout Australia.",,,[]
https://architectureau.com/directory/ian-moore-architects/,Ian Moore Architects,https://ianmoorearchitects.com,[],info@ianmoorearchitects.com,,,,Australia,"An architecture and interior design practice based in Marrickville in Sydney, specialising in residential, retail and adaptive reuse.",,,[]
https://architectureau.com/directory/ptw-architects/,PTW Architects,https://www.ptw.com.au,[],sydney@ptw.com.au,,,,Australia,PTW is an international architecture and interior design practice whose purpose is to improve people’s lives through making better places.,,,[]
https://architectureau.com/directory/cplusc-architectural-workshop/,CplusC Architectural Workshop,https://cplusc.com.au/,[],info@cplusc.com.au,,,,Australia,An award-winning team of architects and builders creating sustainable homes that are made for you.,,,[]
https://architectureau.com/directory/greenbox-architecture/,Greenbox Architecture,https://www.greenboxarchitecture.com/,[],mail@greenboxarchitecture.com,,,,Australia,"We're a leading architecture and interior design practice, operating across Australia and the broader APAC region from our Sydney CBD and Melbourne studios.",,,[]
https://architectureau.com/directory/chan-architecture/,Chan Architecture,http://www.chanarchitecture.com.au,[],info@chanarchitecture.com.au,,,,Australia,Chan Architecture is a boutique Melbourne-based architectural practice with a strong focus on design.,,,[]
https://architectureau.com/directory/lovell-chen/,Lovell Chen,https://www.lovellchen.com.au/,[],hello@lovellchen.com.au,,,,Australia,"Lovell Chen is a nationally recognized design practice integrating architecture, conservation, and heritage, with an interdisciplinary team of specialists.",,,[]
https://architectureau.com/directory/purcell-architecture/,Purcell Architecture,https://purcellarchitecture.com/,[],sydneystudio@purcellau.com,,,,Australia,"Purcell is a global leader in architecture, heritage consultancy, and masterplanning, with the world’s largest team of heritage experts.",,,[]
https://architectureau.com/directory/hachem/,Hachem,https://hachem.com.au/,[],info@hachem.com.au,,,,Australia,"We are award-winning architects, interior designers and marketing gurus. The way we do things at Hachem has always been a little unconventional.",,,[]
https://architectureau.com/directory/kennedy-nolan/,Kennedy Nolan,http://www.kennedynolan.com.au/,[],email@kennedynolan.com.au,,,,Australia,"Design-focused practice spanning multi-residential, mixed-use, retail, education, public and residential project typologies.",,,[]
https://architectureau.com/directory/kocoarchitecture/,KO&CoArchitecture,https://koandcompany.com.au,[],mail@koandcompany.com.au,,,,Australia,"KO&CoArchitecture is an award-winning Brisbane-based architecture and interior design practice, with a keen interest in residential and educational design.",,,[]
https://architectureau.com/directory/mck-architects/,MCK Architects,https://mckarchitects.com,[],architects@mckarchitects.com,,,,Australia,MCK is a multi-award-winning architecture practice based in Sydney that specialises in high-quality bespoke designs responsive to context and client brief.,,,[]
https://architectureau.com/directory/lahznimmo-architects/,lahznimmo architects,http://www.lahznimmo.com,[],a.nimmo@lahznimmo.com,,,,Australia,"Award-winning architecture, interior and urban design studio based in Sydney with a focus on public, educational, masterplanning and workplace architecture.",,,[]
